nitrogen,phosphorus,potassium,crop_name,source_file,processed_date,country,agro_ecological_zone,crop_code,area_hectares,suitability_very_suitable,suitability_suitable,suitability_moderately_suitable,suitability_marginally_suitable,suitability_very_marginally_suitable,suitability_not_suitable,yield_maximum,yield_very_suitable,yield_suitable,yield_moderately_suitable,yield_marginally_suitable,yield_very_marginally_suitable,pH,organic_matter,texture_class,total_suitable_area,temperature_mean,humidity_mean,rainfall_mean,region
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,6195.23,1218.74,3531.62,1049.34,43.5773,275.334,76.6186,4752,4214,3411,2557,1599,319,6.5,2,Unknown,4750.36,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1,sfl,12.1841,6.45985,4.21377,0.358919,0.0699648,1.08165,0,4716,4618,3622,2583,1390,282,6.5,2,Unknown,10.67362,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,99.0644,76.4242,18.2998,3.71037,0,0.630015,0,4705,4325,3676,2500,0,355,6.5,2,Unknown,94.724,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,274.433,54.571,160.054,46.643,3.62123,7.3634,2.18029,4467,4000,3407,2635,1550,371,6.5,2,Unknown,214.625,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5,sfl,0.012491,0.00234776,0.0101433,0,0,0,0,4568,4568,3498,0,0,0,6.5,2,Unknown,0.01249106,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6,sfl,38.2854,0.119908,2.51572,8.42939,8.78231,5.86517,12.5729,4226,4110,3395,2484,1487,412,6.5,2,Unknown,2.635628,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,24,sfl,2.56336,0,0,0,0,0,2.56336,0,0,0,0,0,0,6.5,2,Unknown,0,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,23.3048,0.487925,1.06071,2.28956,2.02761,0.35821,17.0807,4561,4233,3244,2535,1594,196,6.5,2,Unknown,1.548635,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,14.5781,1.39792,2.58189,3.31231,0.200553,1.98324,5.10222,4671,4220,3642,2348,1534,345,6.5,2,Unknown,3.97981,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33,sfl,1.14122,0.303466,0.275079,0.560381,0,0,0.0022896,3962,3961,3383,2453,0,0,6.5,2,Unknown,0.578545,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,465.567,139.767,189.012,65.3039,14.7017,17.2817,39.5018,4716,4209,3440,2588,1518,372,6.5,2,Unknown,328.779,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1,sfl,0.39093,0.183625,0.146103,0.022034,0.00400306,0.035165,0,4716,4542,3533,2594,1388,288,6.5,2,Unknown,0.329728,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,9.99351,4.74992,1.59136,3.45456,0,0.197678,0,4705,4335,3398,2563,0,358,6.5,2,Unknown,6.34128,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,645.531,41.1038,395.587,123.299,13.6934,46.4338,25.4136,4467,3997,3337,2508,1554,278,6.5,2,Unknown,436.6908,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,5,sfl,0.00108618,0.000204153,0.000882022,0,0,0,0,4568,4568,3498,0,0,0,6.5,2,Unknown,0.001086175,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,6,sfl,152.388,0.00510369,25.9607,52.2835,22.1845,9.74929,42.2052,4021,4021,3318,2470,1479,311,6.5,2,Unknown,25.96580369,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,24,sfl,0.163619,0,0,0,0,0,0.163619,0,0,0,0,0,0,6.5,2,Unknown,0,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,5.02131,0.0494948,0.49901,1.85718,1.78572,0.328509,0.501393,4194,4194,3283,2544,1606,197,6.5,2,Unknown,0.5485048,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,12.7963,1.81465,2.37239,1.27868,0.280384,3.18945,3.86077,4671,4058,3558,2365,1535,323,6.5,2,Unknown,4.18704,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,28,sfl,0.939139,0.800415,0.138725,0,0,0,0,4268,4267,3736,0,0,0,6.5,2,Unknown,0.93914,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,33,sfl,6.90548,0.658002,3.76392,2.47238,0,0,0.0111786,3969,3960,3121,2488,0,0,6.5,2,Unknown,4.421922,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,834.131,49.3653,430.06,184.668,37.9481,59.9339,72.1557,4716,4038,3335,2498,1513,286,6.5,2,Unknown,479.4253,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,2,sfl,0.0989768,0.00755075,0.0306316,0.0603428,0,0.000451658,0,4572,4492,3196,2819,0,442,6.5,2,Unknown,0.03818235,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,3,sfl,4.44019,3.51733,0.633114,0.282807,0,0.00694661,0,4467,4005,3519,2362,0,235,6.5,2,Unknown,4.150444,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,25,sfl,0.0610483,0,0.00662929,0.0527685,0.0016505,0,0,3185,0,3185,2447,1591,0,6.5,2,Unknown,0.00662929,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,26,sfl,0.463716,0.0763702,0.0718987,0.00659079,0,0.217567,0.0912895,4444,4406,3570,2631,0,392,6.5,2,Unknown,0.1482689,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,35,sfl,5.06393,3.60125,0.742274,0.402509,0.0016505,0.224965,0.0912895,4572,4015,3508,2446,1591,387,6.5,2,Unknown,4.343524,,,,
50,15,100,sunflower,sfl_IPSL-CM5A-LR_rcp4p5_2020sHr_ctr.csv,2025-10-22T19:32:35.424512,Uganda,1,sfl,63.0007,40.5068,17.3038,1.32462,0.21168,3.65389,0,4716,4630,3600,2524,1412,289,6.5,2,Unknown,57.8106,,,,
